date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:42:45	125/125	---MC-	200	added ('OK')	text/plain	date:Thu,%2022%20Sep%202022%2020:42:44%20GMT	https://happywealthydaily.online/robots.txt		(from )
17:42:46	161245/161245	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Sep%202022%2020:42:45%20GMT	https://happywealthydaily.online/cao-resolvido/	/Users/kelven/websites/cao%20resolvido/WEB/INDEX.HTM	(from )
17:42:46	5602/5602	---M--	200	added ('OK')	text/css	date:Tue,%2026%20Apr%202022%2023:56:12%20GMT	https://happywealthydaily.online/wp-content/themes/twentytwentytwo/style.css?ver=1.2	/Users/kelven/websites/cao%20resolvido/WEB/STYLE62EA.CSS	(from https://happywealthydaily.online/cao-resolvido/)
17:42:48	86545/86545	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Sep%202022%2020:42:47%20GMT	http://s.w.org/	/Users/kelven/websites/cao%20resolvido/WEB/INDEX_2.HTM	(from https://happywealthydaily.online/cao-resolvido/)
17:42:48	19279/19279	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2020:20:48%20GMT	https://happywealthydaily.online/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0	/Users/kelven/websites/cao%20resolvido/WEB/ELEMENTOR_ICONS_MIN91CE.CSS	(from https://happywealthydaily.online/cao-resolvido/)
17:42:48	1702/1702	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2022%20Sep%202022%2020:21:49%20GMT	https://happywealthydaily.online/feed/	/Users/kelven/websites/cao%20resolvido/WEB/INDEX_3.HTM	(from https://happywealthydaily.online/cao-resolvido/)
17:42:48	6614/6614	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2022%20Sep%202022%2020:21:49%20GMT	https://happywealthydaily.online/comments/feed/	/Users/kelven/websites/cao%20resolvido/WEB/INDEX_4.HTM	(from https://happywealthydaily.online/cao-resolvido/)
17:42:49	1117/1117	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2020:30:42%20GMT	https://happywealthydaily.online/wp-content/uploads/elementor/css/post-5.css?ver=1663792242	/Users/kelven/websites/cao%20resolvido/WEB/POST_5EAC8.CSS	(from https://happywealthydaily.online/cao-resolvido/)
17:42:49	108424/108424	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2020:20:48%20GMT	https://happywealthydaily.online/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.7.7	/Users/kelven/websites/cao%20resolvido/WEB/FRONTEND_LITE_MINAC9E.CSS	(from https://happywealthydaily.online/cao-resolvido/)
17:42:50	9475/9475	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2020:30:42%20GMT	https://happywealthydaily.online/wp-content/uploads/elementor/css/global.css?ver=1663792242	/Users/kelven/websites/cao%20resolvido/WEB/GLOBALEAC8.CSS	(from https://happywealthydaily.online/cao-resolvido/)
17:42:52	126168/126168	---M--	200	added ('OK')	text/css	date:Thu,%2022%20Sep%202022%2020:22:59%20GMT	https://happywealthydaily.online/wp-content/uploads/elementor/css/post-206.css?ver=1663878179	/Users/kelven/websites/cao%20resolvido/WEB/POST_2067F9E.CSS	(from https://happywealthydaily.online/cao-resolvido/)
17:42:53	7446/7446	---MC-	200	added ('OK')	text/css	date:Thu,%2022%20Sep%202022%2020:42:52%20GMT	https://fonts.googleapis.com/css?family=Roboto%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CRoboto+Slab%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CPoppins%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&display=auto&ver=6.0.2	/Users/kelven/websites/cao%20resolvido/WEB/CSS1C89.CSS	(from https://happywealthydaily.online/cao-resolvido/)
17:42:53	57912/57912	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2020:20:48%20GMT	https://happywealthydaily.online/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	/Users/kelven/websites/cao%20resolvido/WEB/FONTAWESOME_MIN52D5.CSS	(from https://happywealthydaily.online/cao-resolvido/)
17:42:54	677/677	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2020:20:48%20GMT	https://happywealthydaily.online/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	/Users/kelven/websites/cao%20resolvido/WEB/REGULAR_MIN52D5.CSS	(from https://happywealthydaily.online/cao-resolvido/)
17:42:55	669/669	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2020:20:48%20GMT	https://happywealthydaily.online/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	/Users/kelven/websites/cao%20resolvido/WEB/SOLID_MIN52D5.CSS	(from https://happywealthydaily.online/cao-resolvido/)
17:42:57	135170/135170	---MC-	200	added ('OK')	application/json	date:Thu,%2022%20Sep%202022%2020:42:56%20GMT	https://happywealthydaily.online/wp-json/wp/v2/pages/206	/Users/kelven/websites/cao%20resolvido/WEB/206.JSO	(from https://happywealthydaily.online/cao-resolvido/)
17:42:58	858/858	---M--	200	added ('OK')	text/xml	date:Thu,%2022%20Sep%202022%2020:42:57%20GMT	https://happywealthydaily.online/xmlrpc.php?rsd	/Users/kelven/websites/cao%20resolvido/WEB/XMLRPC0DB0.PHP	(from https://happywealthydaily.online/cao-resolvido/)
17:42:58	176741/176741	---MC-	200	added ('OK')	application/json	date:Thu,%2022%20Sep%202022%2020:42:57%20GMT	https://happywealthydaily.online/wp-json/	/Users/kelven/websites/cao%20resolvido/WEB/INDEX_5.HTM	(from https://happywealthydaily.online/cao-resolvido/)
17:42:58	226/226	---M--	200	added ('Not%20Acceptable')	text/html	date:Thu,%2022%20Sep%202022%2020:42:58%20GMT	https://happywealthydaily.online/wp-includes/wlwmanifest.xml	/Users/kelven/websites/cao%20resolvido/WEB/WLWMANIFEST.HTM	(from https://happywealthydaily.online/cao-resolvido/)
17:43:00	2423/2423	---MC-	200	added ('OK')	application/json	date:Thu,%2022%20Sep%202022%2020:42:59%20GMT	https://happywealthydaily.online/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhappywealthydaily.online%2Fcao-resolvido%2F	/Users/kelven/websites/cao%20resolvido/WEB/EMBED1C23.JSO	(from https://happywealthydaily.online/cao-resolvido/)
17:43:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Sep%202022%2020:43:00%20GMT	https://happywealthydaily.online/?p=206	/Users/kelven/websites/cao%20resolvido/WEB/INDEX1E11.HTM	(from https://happywealthydaily.online/cao-resolvido/)
17:43:01	2496/2496	---MC-	200	added ('OK')	text/xml	date:Thu,%2022%20Sep%202022%2020:43:00%20GMT	https://happywealthydaily.online/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhappywealthydaily.online%2Fcao-resolvido%2F&format=xml	/Users/kelven/websites/cao%20resolvido/WEB/EMBEDD718	(from https://happywealthydaily.online/cao-resolvido/)
17:43:01	103160/103160	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2022%20Sep%202022%2020:43:01%20GMT	https://connect.facebook.net/en_US/fbevents.js	/Users/kelven/websites/cao%20resolvido/WEB/FBEVENTS.JS	(from https://happywealthydaily.online/cao-resolvido/)
17:43:02	44/44	---M--	200	added ('OK')	image/gif	date:Fri,%2021%20Dec%202012%2000:00:01%20GMT	https://www.facebook.com/tr?id=192220315982959&ev=PageView&noscript=1	/Users/kelven/websites/cao%20resolvido/WEB/TREC20.GIF	(from https://happywealthydaily.online/cao-resolvido/)
17:43:03	6162/6162	---M--	200	added ('OK')	image/webp	date:Wed,%2021%20Sep%202022%2021:34:25%20GMT	https://happywealthydaily.online/wp-content/uploads/2022/09/seg.webp	/Users/kelven/websites/cao%20resolvido/WEB/SEG.WEB	(from https://happywealthydaily.online/cao-resolvido/)
17:43:04	12992/12992	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2020:20:48%20GMT	https://happywealthydaily.online/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css	/Users/kelven/websites/cao%20resolvido/WEB/WIDGET_ICON_BOX_MIN.CSS	(from https://happywealthydaily.online/cao-resolvido/)
17:43:06	630532/630532	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Sep%202022%2020:28:52%20GMT	https://happywealthydaily.online/wp-content/uploads/2022/09/Arquivo_000-8-1-scaled.jpeg	/Users/kelven/websites/cao%20resolvido/WEB/ARQUIVO_000_8_1_SCALED.JPG	(from https://happywealthydaily.online/cao-resolvido/)
17:43:08	68236/68236	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Sep%202022%2020:47:27%20GMT	https://happywealthydaily.online/wp-content/uploads/2022/09/IMG_2342-1-3-576x1024.jpeg	/Users/kelven/websites/cao%20resolvido/WEB/IMG_2342_1_3_576X1024.JPG	(from https://happywealthydaily.online/cao-resolvido/)
17:43:08	219363/219363	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Sep%202022%2020:31:52%20GMT	https://happywealthydaily.online/wp-content/uploads/2022/09/IMG_3258-1-1-768x1024.jpg	/Users/kelven/websites/cao%20resolvido/WEB/IMG_3258_1_1_768X1024.JPG	(from https://happywealthydaily.online/cao-resolvido/)
17:43:09	91643/91643	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Sep%202022%2021:00:46%20GMT	https://happywealthydaily.online/wp-content/uploads/2022/09/bd192e63-4546-4617-a49f-52ef56177320-1-725x1024.jpg	/Users/kelven/websites/cao%20resolvido/WEB/BD192E63_4546_4617_A49F_52EF561.JPG	(from https://happywealthydaily.online/cao-resolvido/)
17:43:10	15450/15450	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Sep%202022%2021:01:35%20GMT	https://happywealthydaily.online/wp-content/uploads/elementor/thumbs/c495c7c3-9103-4b68-bf88-8ec7f23547a6-pv3ujcgn73wa7ski7guob7g9xw6wws55lovq45rq1s.jpg	/Users/kelven/websites/cao%20resolvido/WEB/C495C7C3_9103_4B68_BF88_8EC7F23.JPG	(from https://happywealthydaily.online/cao-resolvido/)
17:43:11	589084/589084	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Sep%202022%2021:00:49%20GMT	https://happywealthydaily.online/wp-content/uploads/2022/09/Arquivo_000-2-576x1024.png	/Users/kelven/websites/cao%20resolvido/WEB/ARQUIVO_000_2_576X1024.PNG	(from https://happywealthydaily.online/cao-resolvido/)
17:43:12	142899/142899	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Sep%202022%2021:01:18%20GMT	https://happywealthydaily.online/wp-content/uploads/2022/09/b7583137-ca28-4fa0-b6a8-4380c6cea042.jpeg	/Users/kelven/websites/cao%20resolvido/WEB/B7583137_CA28_4FA0_B6A8_4380C6C.JPG	(from https://happywealthydaily.online/cao-resolvido/)
17:43:13	102721/102721	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Sep%202022%2021:01:23%20GMT	https://happywealthydaily.online/wp-content/uploads/2022/09/cfff4fd3-3b88-4cdf-b635-9b60125316fd-576x1024.jpeg	/Users/kelven/websites/cao%20resolvido/WEB/CFFF4FD3_3B88_4CDF_B635_9B60125.JPG	(from https://happywealthydaily.online/cao-resolvido/)
17:43:13	8731/8731	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Sep%202022%2021:01:24%20GMT	https://happywealthydaily.online/wp-content/uploads/2022/09/passeio-filhote.jpg	/Users/kelven/websites/cao%20resolvido/WEB/PASSEIO_FILHOTE.JPG	(from https://happywealthydaily.online/cao-resolvido/)
17:43:14	58317/58317	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Sep%202022%2021:01:25%20GMT	https://happywealthydaily.online/wp-content/uploads/2022/09/socializar-o-seu-cao.jpg	/Users/kelven/websites/cao%20resolvido/WEB/SOCIALIZAR_O_SEU_CAO.JPG	(from https://happywealthydaily.online/cao-resolvido/)
17:43:15	1934/1934	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Sep%202022%2021:01:25%20GMT	https://happywealthydaily.online/wp-content/uploads/2022/09/grupo-vip-telegram.png	/Users/kelven/websites/cao%20resolvido/WEB/GRUPO_VIP_TELEGRAM.PNG	(from https://happywealthydaily.online/cao-resolvido/)
17:43:17	377931/377931	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Sep%202022%2021:01:25%20GMT	https://happywealthydaily.online/wp-content/uploads/2022/09/capa-estrategia-close-friends.png	/Users/kelven/websites/cao%20resolvido/WEB/CAPA_ESTRATEGIA_CLOSE_FRIENDS.PNG	(from https://happywealthydaily.online/cao-resolvido/)
17:43:18	158572/158572	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Sep%202022%2021:01:29%20GMT	https://happywealthydaily.online/wp-content/uploads/2022/09/ebook-cao-bem-resolvido-1-1.png	/Users/kelven/websites/cao%20resolvido/WEB/EBOOK_CAO_BEM_RESOLVIDO_1_1.PNG	(from https://happywealthydaily.online/cao-resolvido/)
17:43:18	24287/24287	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Sep%202022%2021:01:31%20GMT	https://happywealthydaily.online/wp-content/uploads/2022/09/Certificado-curso-de-adestramento-1-300x232.png	/Users/kelven/websites/cao%20resolvido/WEB/CERTIFICADO_CURSO_DE_ADESTRAMEN.PNG	(from https://happywealthydaily.online/cao-resolvido/)
17:43:20	91490/91490	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Sep%202022%2021:01:32%20GMT	https://happywealthydaily.online/wp-content/uploads/2022/09/alimentacao-natural-para-caes.jpg	/Users/kelven/websites/cao%20resolvido/WEB/ALIMENTACAO_NATURAL_PARA_CAES.JPG	(from https://happywealthydaily.online/cao-resolvido/)
17:43:21	74255/74255	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Sep%202022%2021:01:32%20GMT	https://happywealthydaily.online/wp-content/uploads/2022/09/adestramento-de-gatos-1.png	/Users/kelven/websites/cao%20resolvido/WEB/ADESTRAMENTO_DE_GATOS_1.PNG	(from https://happywealthydaily.online/cao-resolvido/)
17:43:22	206344/206344	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Sep%202022%2021:01:34%20GMT	https://happywealthydaily.online/wp-content/uploads/2022/09/7-Dias-1024x1024.png	/Users/kelven/websites/cao%20resolvido/WEB/7_DIAS_1024X1024.PNG	(from https://happywealthydaily.online/cao-resolvido/)
17:43:22	18468/18468	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2020:20:48%20GMT	https://happywealthydaily.online/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.7.7	/Users/kelven/websites/cao%20resolvido/WEB/ANIMATIONS_MINAC9E.CSS	(from https://happywealthydaily.online/cao-resolvido/)
17:43:23	4957/4957	---M--	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2020:20:48%20GMT	https://happywealthydaily.online/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.7.7	/Users/kelven/websites/cao%20resolvido/WEB/WEBPACK_RUNTIME_MINAC9E.JS	(from https://happywealthydaily.online/cao-resolvido/)
17:43:25	89521/89521	---M--	200	added ('OK')	application/javascript	date:Wed,%2010%20Mar%202021%2023:37:24%20GMT	https://happywealthydaily.online/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	/Users/kelven/websites/cao%20resolvido/WEB/JQUERY_MINAF6C.JS	(from https://happywealthydaily.online/cao-resolvido/)
17:43:25	11224/11224	---M--	200	added ('OK')	application/javascript	date:Wed,%2018%20Nov%202020%2017:36:06%20GMT	https://happywealthydaily.online/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	/Users/kelven/websites/cao%20resolvido/WEB/JQUERY_MIGRATE_MIND617.JS	(from https://happywealthydaily.online/cao-resolvido/)
17:43:26	32929/32929	---M--	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2020:20:48%20GMT	https://happywealthydaily.online/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.7.7	/Users/kelven/websites/cao%20resolvido/WEB/FRONTEND_MODULES_MINAC9E.JS	(from https://happywealthydaily.online/cao-resolvido/)
